22:47:05 | RELAY2 | TIMEOUT | DATA | 100 | CLIENT | SERVER |
22:47:05 | SERVER | RCVD | DATA | 100 | SERVER | RELAY1 |
22:47:05 | SERVER | RCVD | ACK | 100 | SERVER | RELAY2 |
22:47:05 | SERVER | RCVD | DATA | 0 | SERVER | RELAY1 |
22:47:05 | SERVER | RCVD | ACK | 0 | SERVER | RELAY2 |
22:47:05 | RELAY1 | DROP | ACK | 0 | SERVER | CLIENT |
22:47:05 | RELAY2 | TIMEOUT | ACK | 100 | SERVER | CLIENT |
22:47:05 | RELAY1 | DROP | DATA | 0 | SERVER | CLIENT |
22:47:05 | RELAY2 | TIMEOUT | DATA | 100 | SERVER | CLIENT |
22:47:05 | RELAY1 | DROP | DATA | 200 | SERVER | CLIENT |
22:47:05 | CLIENT | SENT | ACK | 0 | RELAY1 | CLIENT |
22:47:05 | RELAY2 | TIMEOUT | DATA | 300 | SERVER | CLIENT |
22:47:05 | CLIENT | SENT | ACK | 100 | RELAY1 | CLIENT |
22:47:06 | RELAY2 | TIMEOUT | DATA | 300 | CLIENT | SERVER |
22:47:06 | RELAY1 | DROP | DATA | 200 | CLIENT | SERVER |
22:47:06 | SERVER | RCVD | DATA | 300 | SERVER | RELAY1 |
22:47:06 | SERVER | RCVD | ACK | 300 | SERVER | RELAY2 |
22:47:06 | SERVER | RCVD | DATA | 200 | SERVER | RELAY1 |
22:47:06 | RELAY2 | TIMEOUT | ACK | 300 | SERVER | CLIENT |
22:47:06 | SERVER | RCVD | ACK | 200 | SERVER | RELAY2 |
22:47:06 | RELAY2 | TIMEOUT | DATA | 300 | SERVER | CLIENT |
22:47:06 | CLIENT | SENT | ACK | 300 | RELAY1 | CLIENT |
22:47:06 | RELAY1 | DROP | ACK | 200 | SERVER | CLIENT |
22:47:06 | RELAY1 | DROP | DATA | 200 | SERVER | CLIENT |
22:47:06 | CLIENT | SENT | ACK | 200 | RELAY1 | CLIENT |
22:47:06 | CLIENT | SENT | DATA | 400 | CLIENT | RELAY1 |
22:47:06 | RELAY1 | DROP | DATA | 400 | SERVER | CLIENT |
22:47:06 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:47:06 | RELAY2 | TIMEOUT | DATA | 500 | SERVER | CLIENT |
22:47:06 | CLIENT | SENT | DATA | 600 | CLIENT | RELAY1 |
22:47:06 | CLIENT | SENT | DATA | 700 | CLIENT | RELAY1 |
22:47:07 | RELAY2 | TIMEOUT | DATA | 500 | CLIENT | SERVER |
22:47:07 | RELAY1 | DROP | DATA | 400 | CLIENT | SERVER |
22:47:07 | SERVER | RCVD | DATA | 400 | SERVER | RELAY1 |
22:47:07 | SERVER | RCVD | ACK | 400 | SERVER | RELAY2 |
22:47:07 | RELAY1 | DROP | ACK | 400 | SERVER | CLIENT |
22:47:07 | SERVER | RCVD | DATA | 500 | SERVER | RELAY1 |
22:47:07 | RELAY1 | DROP | DATA | 400 | SERVER | CLIENT |
22:47:07 | SERVER | RCVD | ACK | 500 | SERVER | RELAY2 |
22:47:07 | CLIENT | SENT | ACK | 400 | RELAY1 | CLIENT |
22:47:07 | RELAY1 | DROP | DATA | 600 | SERVER | CLIENT |
22:47:07 | RELAY2 | TIMEOUT | ACK | 500 | SERVER | CLIENT |
22:47:07 | RELAY2 | TIMEOUT | DATA | 500 | SERVER | CLIENT |
22:47:07 | RELAY2 | TIMEOUT | DATA | 700 | SERVER | CLIENT |
22:47:07 | CLIENT | SENT | ACK | 500 | RELAY1 | CLIENT |
22:47:08 | RELAY2 | TIMEOUT | DATA | 700 | CLIENT | SERVER |
22:47:08 | SERVER | RCVD | DATA | 700 | SERVER | RELAY1 |
22:47:08 | RELAY1 | DROP | DATA | 600 | CLIENT | SERVER |
22:47:08 | SERVER | RCVD | ACK | 700 | SERVER | RELAY2 |
22:47:08 | RELAY2 | TIMEOUT | ACK | 700 | SERVER | CLIENT |
22:47:08 | SERVER | RCVD | DATA | 600 | SERVER | RELAY1 |
22:47:08 | RELAY2 | TIMEOUT | DATA | 700 | SERVER | CLIENT |
22:47:08 | CLIENT | SENT | ACK | 700 | RELAY1 | CLIENT |
22:47:08 | SERVER | RCVD | ACK | 600 | SERVER | RELAY2 |
22:47:08 | RELAY1 | DROP | ACK | 600 | SERVER | CLIENT |
22:47:08 | RELAY1 | DROP | DATA | 600 | SERVER | CLIENT |
22:47:08 | CLIENT | SENT | ACK | 600 | RELAY1 | CLIENT |
22:47:08 | CLIENT | SENT | DATA | 800 | CLIENT | RELAY1 |
22:47:08 | RELAY1 | DROP | DATA | 800 | SERVER | CLIENT |
22:47:08 | CLIENT | SENT | DATA | 900 | CLIENT | RELAY1 |
22:47:08 | RELAY2 | TIMEOUT | DATA | 900 | SERVER | CLIENT |
22:47:08 | CLIENT | SENT | DATA | 1000 | CLIENT | RELAY1 |
22:47:08 | CLIENT | SENT | DATA | 1100 | CLIENT | RELAY1 |
22:47:09 | RELAY2 | TIMEOUT | DATA | 900 | CLIENT | SERVER |
22:47:09 | SERVER | RCVD | DATA | 800 | SERVER | RELAY1 |
22:47:09 | RELAY1 | DROP | DATA | 800 | CLIENT | SERVER |
22:47:09 | SERVER | RCVD | ACK | 800 | SERVER | RELAY2 |
22:47:09 | RELAY1 | DROP | ACK | 800 | SERVER | CLIENT |
22:47:09 | SERVER | RCVD | DATA | 900 | SERVER | RELAY1 |
22:47:09 | RELAY1 | DROP | DATA | 800 | SERVER | CLIENT |
22:47:09 | SERVER | RCVD | ACK | 900 | SERVER | RELAY2 |
22:47:09 | RELAY1 | DROP | DATA | 1000 | SERVER | CLIENT |
22:47:09 | RELAY2 | TIMEOUT | ACK | 900 | SERVER | CLIENT |
22:47:09 | CLIENT | SENT | ACK | 800 | RELAY1 | CLIENT |
22:47:09 | RELAY2 | TIMEOUT | DATA | 900 | SERVER | CLIENT |
22:47:09 | CLIENT | SENT | ACK | 900 | RELAY1 | CLIENT |
22:47:09 | RELAY2 | TIMEOUT | DATA | 1100 | SERVER | CLIENT |
22:47:11 | RELAY1 | DROP | DATA | 1000 | CLIENT | SERVER |
22:47:11 | RELAY2 | TIMEOUT | DATA | 1100 | CLIENT | SERVER |
22:47:11 | SERVER | RCVD | DATA | 1000 | SERVER | RELAY1 |
22:47:11 | SERVER | RCVD | ACK | 1000 | SERVER | RELAY2 |
22:47:11 | RELAY1 | DROP | ACK | 1000 | SERVER | CLIENT |
22:47:11 | SERVER | RCVD | DATA | 1100 | SERVER | RELAY1 |
22:47:11 | RELAY1 | DROP | DATA | 1000 | SERVER | CLIENT |
22:47:11 | SERVER | RCVD | ACK | 1100 | SERVER | RELAY2 |
22:47:11 | CLIENT | SENT | ACK | 1000 | RELAY1 | CLIENT |
22:47:11 | RELAY2 | TIMEOUT | ACK | 1100 | SERVER | CLIENT |
22:47:11 | RELAY2 | TIMEOUT | DATA | 1100 | SERVER | CLIENT |
22:47:11 | CLIENT | SENT | ACK | 1100 | RELAY1 | CLIENT |
